Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:05:50.547,114484.5,0.002,BTCUSDT
2025-09-30 02:05:50.547,114484.2,0.002,BTCUSDT
2025-09-30 02:05:50.547,114483.9,0.002,BTCUSDT
2025-09-30 02:05:50.547,114483.9,0.001,BTCUSDT
2025-09-30 02:05:50.547,114483.7,0.001,BTCUSDT
2025-09-30 02:05:50.547,114483.6,0.001,BTCUSDT
2025-09-30 02:05:50.547,114483.6,0.002,BTCUSDT
2025-09-30 02:05:50.547,114483.6,0.001,BTCUSDT
2025-09-30 02:05:50.547,114483.0,0.002,BTCUSDT
2025-09-30 02:05:50.547,114482.9,0.009,BTCUSDT
2025-09-30 02:05:50.547,114482.9,0.018,BTCUSDT
2025-09-30 02:05:50.547,114482.7,0.002,BTCUSDT
2025-09-30 02:05:50.563,114482.4,0.002,BTCUSDT
2025-09-30 02:05:50.563,114482.4,0.001,BTCUSDT
2025-09-30 02:05:50.563,114482.4,0.001,BTCUSDT
2025-09-30 02:05:50.563,114482.4,0.001,BTCUSDT
2025-09-30 02:05:50.563,114482.4,0.001,BTCUSDT
2025-09-30 02:05:50.563,114482.3,0.001,BTCUSDT
2025-09-30 02:05:50.563,114482.3,0.001,BTCUSDT
2025-09-30 02:05:50.563,114482.1,0.001,BTCUSDT
2025-09-30 02:05:50.563,114481.8,0.002,BTCUSDT
2025-09-30 02:05:50.563,114481.7,0.001,BTCUSDT
2025-09-30 02:05:50.563,114481.2,0.002,BTCUSDT
2025-09-30 02:05:50.567,114481.2,0.005,BTCUSDT
2025-09-30 02:05:50.603,114481.2,0.042,BTCUSDT
2025-09-30 02:05:50.831,114481.1,0.013,BTCUSDT
2025-09-30 02:05:51.030,114481.1,0.007,BTCUSDT
2025-09-30 02:05:51.076,114481.2,0.011,BTCUSDT
2025-09-30 02:05:51.330,114481.1,0.002,BTCUSDT
2025-09-30 02:05:51.472,114481.2,0.001,BTCUSDT
2025-09-30 02:05:51.769,114481.2,0.031,BTCUSDT
2025-09-30 02:05:51.789,114481.1,0.006,BTCUSDT
